Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore
P018,T10,3.0,1.4,2.99,148.8,11.0,B,0.8754687373538999,1.3837912309017721,5.00930107108312,-0.8754687373538999,-1.3837912309017721,-5.00930107108312,1.05443865298278,0.06154384199049654,0.15911638418004495,0.42503295971777383,0023-10-18 16:01:41,9.0,5190.0,-50.0,150.0,1090.0,4000.0,11.0,22.0,81.8181818181818,90.9090909090909,217.0,11.0,B,0.472951114278255
P019,E1,,,,,,,,,,,,,,,,,0023-08-29 19:03:49,2.0,2890.0,-190.0,150.0,680.0,2250.0,13.0,17.0,38.4615384615385,82.3529411764706,125.0,1.0,B,-0.566134036745424
P019,E2,2.0,1.48,2.47,116.18,12.0,B,0.9082585601768908,1.244154593958768,4.7637112141166424,-0.9082585601768908,-1.244154593958768,-4.7637112141166424,0.9671938534216611,0.8372236364236239,0.5972522721784613,0.8005565873412488,0023-10-17 18:46:26,5.0,7530.0,-120.0,700.0,950.0,6000.0,14.0,20.0,85.7142857142857,90.0,331.0,12.0,B,1.53010731140669
P019,E3,4.0,1.47,2.35,107.38,13.0,B,0.9042181506398858,1.208960345836975,4.685643570137968,-0.9042181506398858,-1.208960345836975,-4.685643570137968,0.9779442841911032,1.0327272502745048,0.7365260880478591,0.9157325408378224,0023-11-20 18:36:21,4.0,7460.0,-100.0,950.0,860.0,5750.0,15.0,20.0,93.3333333333333,85.0,313.0,13.0,B,1.49848298072336
P019,T01,10.0,1.79,3.54,114.63,2.0,B,1.0260415958332743,1.5129270120532565,4.75039543814087,-1.0260415958332743,-1.5129270120532565,-4.75039543814087,0.6538052330252069,-0.6558038281516204,0.6210078107971805,0.20633640522358898,0023-09-11 18:58:10,5.0,3695.0,-385.0,550.0,1030.0,2500.0,12.0,21.0,75.0,90.4761904761905,145.0,2.0,B,-0.202454233887136
P019,T02,3.0,1.99,3.08,124.95,3.0,B,1.095273387402595,1.4060969884160703,4.835885002798619,-1.095273387402595,-1.4060969884160703,-4.835885002798619,0.469598267000143,-0.06236436564148945,0.4684931801500623,0.29190902716957196,0023-09-15 19:05:56,8.0,4950.0,-170.0,950.0,1170.0,3000.0,14.0,23.0,92.8571428571429,95.6521739130435,171.0,3.0,B,0.364524837649698
P019,T03,5.0,1.61,2.54,133.12,4.0,B,0.9593502213346021,1.264126727145683,4.898734921598028,-0.9593502213346021,-1.264126727145683,-4.898734921598028,0.831252840229491,0.7262786831221434,0.3563680080279655,0.6379665104598666,0023-09-18 18:50:58,6.0,6000.0,-140.0,1300.0,1090.0,3750.0,18.0,20.0,94.4444444444444,100.0,221.0,4.0,B,0.838889797899638
P019,T04,7.0,1.71,2.44,147.73,5.0,B,0.9969486348916096,1.235471471385307,5.002132581604506,-0.9969486348916096,-1.235471471385307,-5.002132581604506,0.7312136886822257,0.8854582751278559,0.17190507399856722,0.5961923459362163,0023-09-20 18:23:32,2.0,6265.0,-85.0,1050.0,1050.0,4250.0,16.0,20.0,93.75,100.0,224.0,5.0,B,0.958610478343671
P019,T05,9.0,2.04,2.22,150.08,6.0,B,1.1118575154181303,1.169381359556317,5.017809497844256,-1.1118575154181303,-1.169381359556317,-5.017809497844256,0.4254724133039525,1.2525880304692012,0.14393722669973857,0.6073325568242974,0023-09-25 18:26:55,8.0,5675.0,-135.0,700.0,1110.0,4000.0,16.0,21.0,75.0,100.0,244.0,6.0,B,0.692062548298466
P019,T06,4.0,1.75,2.3,116.76,7.0,B,1.0116009116784799,1.1939224684724346,4.7686486549805664,-1.0116009116784799,-1.1939224684724346,-4.7686486549805664,0.6922279656337859,1.1162624733950568,0.588443805639673,0.7989780815561719,0023-09-26 18:05:45,8.0,6635.0,-475.0,750.0,860.0,5500.0,14.0,20.0,100.0,80.0,297.0,7.0,B,1.1257676548127
P019,T07,1.0,1.69,2.4,155.79,8.0,B,0.9895411936137477,1.2237754316221157,5.054907330372359,-0.9895411936137477,-1.2237754316221157,-5.054907330372359,0.7509228750671757,0.9504296316272037,0.07775415221008072,0.5930355529681534,0023-10-03 18:13:54,1.0,6830.0,-100.0,1400.0,1030.0,4500.0,18.0,20.0,100.0,100.0,248.0,8.0,B,1.2138640045734
P019,T08,4.0,1.17,2.3,196.25,9.0,B,0.7747271675523681,1.1939224684724346,5.284471959725984,-0.7747271675523681,-1.1939224684724346,-5.284471959725984,1.322484568090454,1.1162624733950568,-0.3317924959180096,0.7023181818558338,0023-10-04 19:12:20,8.0,7060.0,-70.0,550.0,1080.0,5500.0,13.0,21.0,92.3076923076923,95.2380952380952,309.0,9.0,B,1.31777251967577
